HTTrack3.49-2+htsswf+htsjava launched on Sat, 12 May 2018 19:00:54 at www.iyte.edu.tr/ -ad.doubleclick.net/* -mime:application/foobar +*[name].*[name]www.iyte.edu.tr/*[name].*[name]/*
(winhttrack -qwC2%P%s%uN101%Ip1dc8H0%kf2A2500000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "tr, *" www.iyte.edu.tr/ -O1 "C:\Benim Web Sitem\iyt\iyt" -ad.doubleclick.net/* -mime:application/foobar +*[name].*[name]www.iyte.edu.tr/*[name].*[name]/* )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

19:40:04	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\799.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=12930)
19:40:04	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 47497 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\51.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=93)
19:40:08	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\596.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=93)
19:40:09	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 76006 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\6.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=83)
19:40:44	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\745.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=83)
19:40:44	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 92790 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\53.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=118)
19:40:44	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\614.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=118)
19:40:44	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 137690 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\383.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1226)
19:40:45	Warning: 	Note: due to ictp-ecar.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/ (see in the options to disable this)
19:40:47	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\655.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1226)
19:40:47	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 212492 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\390.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=87)
19:40:49	Warning: 	Note: due to sem.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/ (see in the options to disable this)
19:40:59	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\662.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=87)
19:40:59	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\16.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=48)
19:40:59	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\672.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=48)
